leg	[ leg ]	нога
loan	[ l?un ]	заём, ссуда
cover	[ 'k?v? ]	покрывало, крышка
galaxy	[ 'g?l?ksi ]	галактика (TR!)
star	[ st?: ]	звезда
constellation	[ ,k?nst?'lei??n ]	созвездие
sun	[ s?n ]	солнце
moon	[ mu:n ]	луна
planet	[ 'pl?nit ]	планета
mercury	[ 'm?:kjuri ]	ртуть
venus	[ 'vi:n?s ]	венера (TR!)
earth	[ ?:? ]	земля
dragon	[ 'dr?g?n ]	дракон ((!NEW!))
fairy	[ 'f??ri ]	волшебный
ghost	[ g?ust ]	привидение, дух
giant	[ '?ai?nt ]	гигант, гигантский
king	[ ki? ]	король
monster	[ 'm?nst? ]	чудовище
pirate	[ 'pai?rit ]	пират
prince	[ prins ]	принц
princess	[ prin'ses ]	принцесса (TR!)
queen	[ kwi:n ]	королева
skeleton	[ 'skelitn ]	скелет, остов
wizard	[ 'w?z?rd ]	колдун, специалист своего дела (!NEW!)
curve	[ k?:v ]	изгиб, гнуть
square	[ skw?? ]	площадь, квадратный
circle	[ s?:kl ]	амфитеатр, круг
diameter	[ dai'?mit? ]	диаметр
arc	[ ?:k ]	дуга (мат.)
circumference	[ s?'k?mf?r?ns ]	окружность
apex	[ 'eipeks ]	верхушка, вершина (не peak)
pyramid	[ 'pir?mid ]	пирамида
depth	[ dep? ]	глубина
height	[ hait ]	высота
width	[ wid? ]	ширина
length	[ le?? ]	длина
broom	[ bru:m ]	метла, мести
iron	[ 'ai?n ]	железо, утюг
mop	[ m?p ]	швабра, подтирать
bleach	[ bli:? ]	белить (ткань)
ammonia	[ ?'m?unj? ]	аммиак
wax	[ w?ks ]	воск, восковой
cream	[ kri:m ]	сливки, крем
vote	[ v?ut ]	голос (на выборах), голосование, голосовать
plot	[ pl?t ]	заговор
obviously	[ '?bv??sl? ]	очевидно
repel	[ ri'pel ]	отталкивать, внушать отвращение
sufficient	[ s?'fi??nt ]	достаточный
failure	[ 'feilj? ]	неудача
occur	[ ?'k?: ]	случаться
resemble	[ ri'zembl ]	походить
beans	[ bi:nz ]	фасоль
date	[ deit ]	дата
happy	[ 'h?pi ]	счастливый
feelings	[ 'fi:li?z ]	страсти (от feeling)
event	[ i'vent ]	событие
unhappy	[ ?n,h?pi ]	несчастный, неудачный (unhappy)
violence	[ 'vail?ns ]	сила, неистовство, насилие
died	[ d?d ]	умер, умерший (от die)
hungry	[ 'h??gri ]	голодный (не от слова starve)
melancholy	[ 'mel?nk?li ]	меланхолия (TR!)
sad	[ s?d ]	печальный
sorrowful	[ 's?r?ful ]	печальный, скорбный
unfortunate	[ ?n'f?:?nit ]	несчастный человек, горемыка
rear	[ ri? ]	задняя часть
themselves	[ ??m'selvz ]	себя, себе
gesture	[ '?es?? ]	жест
expression	[ iks'pre?n ]	выразительность, выражение
roar	[ r?: ]	реветь, орать, хохотать
pop	[ p?p ]	поп, популярный
however	[ hau'ev? ]	однако
dozen	[ 'd?zn ]	дюжина
crew	[ kru: ]	судовая команда, экипаж
present	[ preznt ]	настоящее время, подарок, настоящий, присутствующий
doubt	[ daut ]	сомнение, сомневаться
settle	[ setl ]	поселять, устраивать, оплачивать
grip	[ grip ]	схватывание
completely	[ k?m'pli:tli ]	совершенно, полностью
nearly	[ 'ni?li ]	почти, приблизительно (не almost)
pair	[ p?? ]	пара
gather	[ 'g??? ]	собираться
